"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 07 15:09:58 GMT 2021","Mon Jun 07 15:10:10 GMT 2021","11770","Test Suite","WordPress UI Automation - 2","tests.Wordpress_CreateAccount_Test","tests.Wordpress_CreateAccount_Test","testSampleWordPressAccount","Wordpress Sample Create Account Test",""
"broken","Mon Jun 07 15:10:42 GMT 2021","Mon Jun 07 15:11:22 GMT 2021","40163","Test Suite","WordPress UI Automation - 1","tests.Wordpress_Login_Test","tests.Wordpress_Login_Test","testInvalidLogin","Wordpress Invalid_Login Test",""
"broken","Mon Jun 07 15:09:58 GMT 2021","Mon Jun 07 15:10:41 GMT 2021","42860","Test Suite","WordPress UI Automation - 1","tests.Wordpress_Login_Test","tests.Wordpress_Login_Test","testValidLogin","Wordpress Valid_Login Test",""
