"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 07 14:45:59 GMT 2021","Mon Jun 07 14:46:42 GMT 2021","43012","Test Suite","WordPress UI Automation - 1","tests.Wordpress_Login_Test","tests.Wordpress_Login_Test","testValidLogin","Wordpress Valid_Login Test",""
"passed","Mon Jun 07 14:45:59 GMT 2021","Mon Jun 07 14:46:11 GMT 2021","11721","Test Suite","WordPress UI Automation - 2","tests.Wordpress_CreateAccount_Test","tests.Wordpress_CreateAccount_Test","testSampleWordPressAccount","Wordpress Sample Create Account Test",""
"broken","Mon Jun 07 14:46:44 GMT 2021","Mon Jun 07 14:47:24 GMT 2021","40599","Test Suite","WordPress UI Automation - 1","tests.Wordpress_Login_Test","tests.Wordpress_Login_Test","testInvalidLogin","Wordpress Invalid_Login Test",""
